Title,Author First Name,Author Last Name,Category,Location
Change Sings A Children's Anthem,Amanda,Gorman,Activity Room,Activity Room
Charged Up The Story Of Electricity,Jacqui,Bailey,S.T.E.A.M. Lab,S.T.E.A.M.
Charlie Clownfish & Annie A.: A Tale of Best Friends,Suzanne,Tate,How To Be A Friend,Resource Room
Charlie Cook's Favourite Book,Julia,Donaldson,Author Study,Author Study
Charlie The Caterpillar,Dom De,Luise,Bugs,Resource Room
Charlie The Caterpillar,Dom ,De Luise,How To Be A Friend,Resource Room
Charlie's Hatch Party,RayLee,Holladay,Animals,S.T.E.A.M.
"Chatter, Chirp, Bark & Buzz",Eric,Carle,Pets,Resource Room
Chcika Chicka 123,Bill,Martin Jr.,Numbers,Resource Room
Chick 'n' Pug The Love Pug,Jennifer,Sattler,Valentine's Day,Resource Room
Chicka Chicka 1 2 3,Bill,Martin Jr,,
Chicka Chicka Boom Boom,Bill ,Martin Jr.,Alaphabet,Resource Room
Chicka Chicka Boom Boom,Bill ,Martin Jr.,School,Resource Room
Chicken and Egg,Liza,Charlesworth,Farm,Resource Room
Chicken Little,Mara,Alperin,Fairy Tales,Resource Room
Chicken Little,Steven,Kellogg,Fairy Tales,Resource Room
Chicken Little,Laura,Rader,Farm,Resource Room
Chicken On Vacation,Adam,Lehrhaupt,Summer,Resource Room
Chickens,Kathryn,Clay,Farm,Resource Room
Christmas Kisses,John,Prater,Christmas,Resource Room
Christmas Wishes,Tony ,Mitton,December Holidays,Resource Room
Chugga-Chugga Choo-Choo,Kevin,Lewis,Transportation,Resource Room
Circle,Barnett,Klassen,Shapes,Resource Room
City and Country,Jody Jensen,Shaffer,The World,
City Shapes,Diana,Murray,Shapes,Resource Room
Clap Your Hands,Lorinda,Bryan Cauley,Board Book,Resource Room
Clara Caterpillar,Pamela Duncan,Edwards,Bugs,Resource Room
Clark The Shark,Bruce,Hale,School,Resource Room
Classroom Helpers,Liza,Charlesworth,School,Resource Room
Claude and Sun,Matt,Novak,Artists,S.T.E.A.M.
Claude Monet Sunshine and Waterlilies,Steven,Packard,Artists,S.T.E.A.M.
"Click, Clack, Ho! Ho! Ho!",Doreen,Cronin,Christmas,Resource Room
"Click, Clack, Moo Cows That Type",Doreen ,Cronin,Farm,Resource Room
"Click, Clack, Moo I Love You!",Doreen ,Cronin,Valentine's Day,Resource Room
"Click, Clack, Quack to School",Doreen ,Cronin,Beginning of the Year,Resource Room
"Click, Clack, Quack to School",Doreen ,Cronin,School,Resource Room
"Click, Clack, Quackity-Quack",Doreen ,Cronin,Alaphabet,Resource Room
Clifford And The Beanstalk,Norman,Bridwell,Fairy Tales,Resource Room
Clifford And The Beanstalk,Daphine,Pendergrass,S.T.E.A.M.,S.T.E.A.M.
Clifford Takes A Swim,Norman,Bridwell,Summer,Resource Room
Clifford The Big Red Dog,Norman,Bridwell,Pets,Resource Room
Clifford The Big Red Dog: Big Red School,Norman,Bridwell,School,Resource Room
Clifford The Big Red Dog: Clifford Helps Santa,Sonia,Sander,Christmas,Resource Room
Clifford The Big Red Dog: Deck The Halls,Maria S.,Barbo,Christmas,Resource Room
Clifford: the Firehouse Dog,Norman,Bridwell,Fire Safety,Resource Room
Clifford's First Easter A Lift The Flap Book,Norman,Bridwell,Easter,Resource Room
Clifford's Thanksgiving Visit,Norman,Bridwell,Thanksgiving,Resource Room
Cliffords Happy Easter,Norman,Bridwell,Easter,Resource Room
Clothesline Clues To Jobs People Do,Kathryn ,Heling,Community Helpers,Resource Room
Cloudette,Tom,Lichtenhelcl,Weather,Resource Room
Clouds,Marion Dane,Bauer,Weather,Resource Room
Clouds,Marion Dane,Bauer,Weather/Forces,S.T.E.A.M.
Clumsy Crab,Ruth,Galloway,Ocean,Resource Room
Cock-a-doodle-doo Barnyard Hullabaloo,Giles,Andreae,Farm,Resource Room
Cock-a-doodle-hoooooooo!,Mick,Manning,Farm,Resource Room
Cold,Bruce,Larkin,Winter,Resource Room
Colors of Fall,Laura Purdie,Salas,Fall,Resource Room
Commotion In The Ocean,Giles,Andreae,Ocean,Resource Room
Commotion in the Ocean,Giles,Andreae,Sea Life,
Compost Stew: An A to Z Recipe For Earth,Mary McKenna,Siddals,Earth Day,Resource Room
Construction Sites,Felicity,Brooks,Construction,Resource Room
Cookie's Week,Cindy,Ward,School,Resource Room
Cooking With The Cat,Bonnie,Worth,Food/Nutrition,Resource Room
Coral Reefs,Kristin Baird,Rattini,Ocean,Resource Room
Corduroy,Don,Freeman,Activity Room,Activity Room
Corduroy,Don,Tneeman,Activity Room,Activity Room
Corduroy,Don,Freeman,,
Cornelius,Leo,Lionni,Author Study,Author Study
Could You Ever Dine With Dinosaurs?,Sandra,Markle,Dinosaurs,Resource Room
Count My Blessings,Salina,Yoon,Weather/Forces,S.T.E.A.M.
Count!,Denise,Fleming,Author Study,Author Study
Count!,Denise,Fleming,Numbers,Resource Room
Countdown To Thanksgiving,Jodi,Huelin,Thanksgiving,Resource Room
Counting Dinos,Eric,Pinder,Dinosaurs,Resource Room
Cows,Sheri,Doyle,Farm,Resource Room
Cows,JoAnn Early,Macken,Farm,Resource Room
Cozy,Jan,Brett,Author Study,Author Study
Crafts from Felt,Huguette,Kirby,Artists,S.T.E.A.M.
